('SELECT' , 'select')
('VAR' , '?nome')
('VAR' , '?desc')
('WHERE' , 'where')
('OPEN_BRACKETS' , '{')
('VAR' , '?s')
('TYPE_A' , 'a')
('TABELA' , 'dbo:MusicalArtist')
('DOT' , '.')
('VAR' , '?s')
('TABELA' , 'foaf:name')
('STRING' , '"Chuck Berry"@en')
('DOT' , '.')
('VAR' , '?w')
('TABELA' , 'dbo:artist')
('VAR' , '?s')
('DOT' , '.')
('VAR' , '?w')
('TABELA' , 'foaf:name')
('VAR' , '?nome')
('DOT' , '.')
('VAR' , '?w')
('TABELA' , 'dbo:abstract')
('VAR' , '?desc')
('CLOSE_BRACKETS' , '}')
('LIMIT' , 'LIMIT')
('NUM' , '1000')
